id,Crop,Commodity,Province,Region,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
1082,Banana - Lakatan,Fruit Crops,Aklan,REGION VI (WESTERN VISAYAS),554,52.94,12.38,53.1,560.7,53.6,13.07,55,423.8,50.9,14.95,56.41,427.05,52.46,15.83,48.82,147.6,31.23,31.9,46.2,141.79,50.68,32.5,49.43,130.19,47.15,33.87,51.12,135.12,52.35,34.47,52.86,136.5,53.78,35.64,54.1,138.01,55.42,37.03,57.4,75.9,37.04,32.7,60.66,75.36,55.27,37.54,90.61,83.36,64.94,38.46,88.75
1083,Banana - Lakatan,Fruit Crops,Albay,REGION V (BICOL REGION),77,62,79.56,68.13,79.31,57.66,78.76,67,83.62,60.54,81.12,69,86.13,63.57,89.23,71.76,90.44,66.75,53.54,57.41,72.35,58.01,56.01,62,72.27,60.91,57.69,64.48,57.82,53.94,59.42,68,52.04,49.62,54.66,70.38,54.64,45.65,54.69,64.2,44.69,43.18,46.59,56.38,35.44,37.27,45.95,80.77,55.26,59.19,53.17,89.02
1084,Banana - Lakatan,Fruit Crops,Antique,REGION VI (WESTERN VISAYAS),35.74,77.07,59.73,118.56,38.23,81.69,64.51,131.07,39.38,83.52,66.45,133,40.56,88.75,68.47,117.43,37.72,83.15,68.98,118.69,42.25,96.37,71.22,154.48,40.13,90.05,64.96,160.2,40.02,98.33,75,162,39.06,96.37,82,165,38.02,75.17,79.66,169.95,35.74,74.42,78.06,175.05,36.81,75.02,109.28,182.77,35.88,73.18,98.48,177.53
1085,Banana - Lakatan,Fruit Crops,Apayao,CORDILLERA ADMINISTRATIVE REGION (CAR),480,610,890,253,478,665,810,238,466,730,750,270,603,1239.95,1091,240,300,1120,1320.7,228,320,1204,1188.63,215,325,1245,1246.36,55.75,133.15,145.54,1358.78,57.03,171,161.59,1223.62,37.56,89.01,90,1602.45,45.81,129.06,178.19,2003.06,49.37,107.93,204.36,1992.26,51,113.92,220,1918,40.07
1086,Banana - Lakatan,Fruit Crops,Aurora,REGION III (CENTRAL LUZON),245,250,515,241,250.03,256.2,517.5,203,246,275,522.2,224,248.25,604.69,296,179,190,568,325,468,225,597,520,130,11.25,269,374.4,93.6,10.5,135,449,104.83,13.12,152.55,460.67,62,9.18,103.74,322.47,72.04,7.63,94.85,426.35,69.49,3.63,77.49,357,103.7,6.48,128.81,387.75,94
1087,Banana - Lakatan,Fruit Crops,Basilan,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),356.86,397.76,483.24,406.05,353,391,495.25,410.5,364,371.45,480.5,390,345,350,460,400,350,357,465,404,340,340,460,390,320,315,430,350,304,321.33,451.5,357,320.39,330,559.23,340,269.12,320.1,544.07,364.65,263.57,325.6,553.1,375.58,243.68,328.42,566.38,384.09,247.35,334.63,572.84,390.39
1088,Banana - Lakatan,Fruit Crops,Bataan,REGION III (CENTRAL LUZON),38.3,29.5,56.6,21,35,26,54,18,31,24,50,17,32,22,46,16,33,24,49,28,34,26,70,65,33,24.5,65,60,33.5,26.71,67.47,67.3,33.2,25.53,49.87,71.72,35.51,26.75,48.47,75.82,33.42,27.23,49.3,71.62,32.36,33.23,56.67,84.12,40.18,38.76,58.9,87.74
1089,Banana - Lakatan,Fruit Crops,Batanes,REGION II (CAGAYAN VALLEY),0,0,0,0,0,0,0,0,13.87,16.5,3.02,11.8,14.03,16.52,3.65,3.36,8.56,11.75,1.12,4.13,7.36,4.85,0.35,1.2,4.04,3.15,0.45,0.23,1.25,0.2,0.16,0.2,1.52,0.25,0.2,0.55,0.94,0.27,0.12,0.58,0.93,0.29,0.24,0.58,1.44,0.44,0.63,0.1,0.24,0.14,0.21,0.08
1090,Banana - Lakatan,Fruit Crops,Batangas,REGION IV-A (CALABARZON),180,70,40,10.95,160,65,47,10.75,120,66,49.5,10.6,135,66.5,51,7.5,130,68,44.97,6.5,120,38,41,11.68,132,31.67,35,9,86.21,33.13,42.89,9.54,73.77,29.9,47.18,10.99,86.15,32.89,43.59,13.08,80,28.19,42,10,72,28,41.8,9.75,55.67,32.94,49.92,7.96
1091,Banana - Lakatan,Fruit Crops,Benguet,CORDILLERA ADMINISTRATIVE REGION (CAR),114.28,67.66,79,123.55,116.3,65.8,79.8,115.8,106.99,62.51,78.2,110,108.06,63.45,77.42,106.7,105.9,61.55,75.48,104.57,95.31,48.46,63.83,90,85.08,46.35,61.5,68.84,74.95,45.77,59,67.92,65.45,42.75,47.21,65.75,63.5,43.75,48.25,68,66,39.25,49,65,69.18,26.08,45.73,59.67,54.82,27,51.75,75.65
1092,Banana - Lakatan,Fruit Crops,Biliran,REGION VIII (EASTERN VISAYAS),272,419.75,348.2,228,270,419.78,349,229.5,271,419.85,349.5,229.55,271.5,419.95,349.8,92.55,157,339,315,85,150,339.1,315.75,86,151,340,322,86.4,136,275,274,78,75,140,192,75,68,128,174,68,40,95,140,60,41,97,142,54,38.63,102,148,62
1093,Banana - Lakatan,Fruit Crops,Bohol,REGION VII (CENTRAL VISAYAS),689.72,501.49,1026,950,717.17,735.76,1096.69,958.05,729.58,746.1,1128.85,1008.4,1158.36,1008.64,1595.68,965,1108.89,959.17,1288.83,925.92,1040.85,939.13,1253.81,900.88,1019.3,494.8,747.78,938.66,1261.69,702.7,878.74,1071.76,1172.53,588.9,864.59,992.54,922.08,572.57,630.98,932.46,777.25,587.17,756.75,1193.11,796.4,638.93,753.93,944.27,73.23,79.87,194.98,630.73
1094,Banana - Lakatan,Fruit Crops,Bukidnon,REGION X (NORTHERN MINDANAO),8150,7900,7250,8675,8250,9500,7000,8500,8200,9000,7500,8495,8150,8500,7550,9100,8160,8750,7560,9200,8165,8800,8300,9360,8140,8564,8460,9400,8170,8850,8630,9500,8225,8920,8810,9600,8300,8810,8984,9710,8250,10592.53,11003.87,10833.64,9803.72,13744.02,12467.6,11046.86,10200,13875,12470,12854.57
1095,Banana - Lakatan,Fruit Crops,Bulacan,REGION III (CENTRAL LUZON),2050,2680,992,2315,2057,2734,1027,2267,2078,2800,1080,2245,2036,2856,1129,2171,1954,2946,1200,2250,2149,3049,1380,2408,1885,3000,1380,2400,1920,3045,1400,2410,1980,3050,1350,2300,1985,2859.38,1250,1750,1350,2175,1100,1575,1300,2092,1000,1250,910,1850,990,1248
1096,Banana - Lakatan,Fruit Crops,Cagayan,REGION II (CAGAYAN VALLEY),1409.42,5786.25,817.55,355.39,1055.06,5074.92,909.76,385.69,1384.25,6117.55,1048.95,463.72,1720.99,7358.8,1297.63,348.49,1332.74,6228.63,1251.12,386.94,1542.37,5898.51,1129.32,292.81,1495.83,6605.2,1133.39,135.55,45.57,3830.9,770.7,148.56,158,6067.89,913.38,88.8,72.8,5538,856.22,95.12,181.63,5802.95,1329.52,83.92,215.76,5428.54,1376.65,86.88,176.02,5036.72,1273.33,76.97
1097,Banana - Lakatan,Fruit Crops,Camarines Norte,REGION V (BICOL REGION),17,25,240,48,19,26,250,45,20,27,258,46,21.2,28,265,48,21.72,28.7,215.5,47.8,21.24,29.12,230.4,48.45,21.67,26.71,311.96,30.83,25.53,29.08,367.15,30.9,21.16,30.34,508.17,31.21,17.73,24,539.07,35.07,5.34,17.53,697.41,8.52,2.41,15.82,401.01,14.94,3.48,20.24,575.81,6.14
1098,Banana - Lakatan,Fruit Crops,Camarines Sur,REGION V (BICOL REGION),550.83,902.96,606.62,402.99,563.5,872.71,600.55,409.64,568.97,888.33,587.82,414.84,572.73,910.8,610.63,412.77,575.59,924.92,530.74,371.49,518,887.92,594.43,405.39,527.43,824.17,581.59,411.71,411.39,618.54,491.09,372.97,386.79,707.73,559.74,397.21,363.31,612.89,618.46,412.34,258.28,526.66,533.79,335.99,86.09,287.98,261.93,365.89,115.28,501.1,503.06,382.25
1099,Banana - Lakatan,Fruit Crops,Camiguin,REGION X (NORTHERN MINDANAO),11.15,12,12.5,22.97,12,12.75,15.1,25.12,12.3,15.48,13.48,23.15,11,13.99,14.02,20.6,11.25,13.13,15.1,21.45,12.57,13.5,15.65,22.15,13.05,9.25,17.41,20.24,15.65,10.72,20.35,18.26,15.24,11.34,18.91,20.9,14.73,9.47,17.89,23.5,18.99,9.05,20.25,23.5,17.09,10.75,23.59,25.98,9.97,9.1,20.43,27.07
1100,Banana - Lakatan,Fruit Crops,Capiz,REGION VI (WESTERN VISAYAS),25.51,42.54,34.35,48.15,33.42,56.38,40.92,52.04,35.19,75.2,48.29,61.43,36.39,75.9,46.19,39.2,10.88,12,28.63,23.87,19.5,20.5,32.49,30.41,23.94,26.55,33.14,38.61,27.17,29.89,34.8,40.53,29.61,32.77,36.58,42.62,30.63,33.72,47.92,56.08,29.5,37.7,50.79,59.61,35.4,46.62,52.31,61.66,38.09,50.18,54.92,63.88
1101,Banana - Lakatan,Fruit Crops,Cavite,REGION IV-A (CALABARZON),642.24,1750.58,1200,530,640,1761.08,1236,545.9,642,1770,1250,550,622.74,1782.39,1318.75,561,581.7,1748.52,1180.78,121.85,156.2,1463,1310,190,580,1222.68,1415.06,177.04,603.49,1101.3,1493.48,147.25,585.87,1047.12,1460.02,143.86,544.39,860.62,1379.86,156.52,425.86,674.9,1262.72,101.8,436.79,854.42,1215.29,101.43,588.76,976.96,1406.28,119.2
1102,Banana - Lakatan,Fruit Crops,Cebu,REGION VII (CENTRAL VISAYAS),1183.12,1408,1203.07,1465.76,1239.55,1909.41,1384.49,1942.86,1474.32,1744.14,1467,1908.08,1438.5,1718.04,1926.34,1658.12,1422.45,1716.85,1891.67,2230.17,1664.27,2042.95,2245.98,2810.01,1865.43,1705.86,2066.3,3608.9,1884.5,1832.6,2227.47,3797.62,1999.26,2044.26,2182.47,3921.4,2088.1,1952.76,2030.29,3548,1993.09,2071.88,2163.88,3758.75,2100,2029,2315,3675,1323,1678,2190,4667
1103,Banana - Lakatan,Fruit Crops,City of Davao,REGION XI (DAVAO REGION),4853.23,4198.63,3354.26,4724.32,4820.28,4958.32,4612.35,5566.82,5145.64,5126.38,4280.26,5845.16,5075.44,5063.33,4359.87,5948.32,5145.32,5120.32,4655.32,6145.36,5344.23,5215.56,4878.5,6290.75,5152.2,5110.3,5115.75,6782.38,5226.12,5115.06,5224.3,7779.88,5382.9,5365.25,5349.68,8104.3,5380.55,5366.15,5607.53,8264,5722.28,5413.2,5612.15,8765,5902.56,5661.3,5798.65,9248,6237.92,5876.32,5976.25,9375.8
1104,Banana - Lakatan,Fruit Crops,City of Zamboanga,REGION IX (ZAMBOANGA PENINSULA),131.2,1209.8,2155.5,2225.5,131.5,1210,2187.83,2258.88,142.5,1239.04,2221.83,2265.9,166.73,1260.3,2447.5,2600.24,183.4,1301.26,2498.68,2640,187.3,1282.39,2473.69,2600.4,177.94,1025.91,2275.79,2561.39,187.9,1051.56,2299.92,2572.92,202.13,1113.81,2352.33,2644.09,192.95,1085.2,2329.04,2799.03,201.33,1098.22,2375.44,2886.61,209.95,1113.89,2484.45,2930.52,215.15,1139.02,2514.26,2997.52
1105,Banana - Lakatan,Fruit Crops,Cotabato,REGION XII (SOCCSKSARGEN),26727.15,32960.78,38983.19,27260.85,26534.71,34002.34,41166.25,27587.98,24013.91,37225.76,41178.6,28928.76,24469.97,37586.85,42591.02,29820.92,24273.16,38842.25,43912.8,32820.9,23591.08,31897.26,45563.92,33647.54,13829.09,14422.35,31293.3,33995,14036.63,18431.62,33565.19,32732.24,13552.23,17971.57,34820.86,34427.77,12272.9,17891.95,32439.86,33780.97,11557.64,17278.61,34957.19,36596.61,12823.55,27167.41,35836.01,38236.14,13308.28,28567.89,35065.54,35944.19
1106,Banana - Lakatan,Fruit Crops,Davao Occidental,REGION XI (DAVAO REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2917.87,2197.68,3472.32,2870.71,2830.33,2066.48,3298.7,2985.54,2749.1,1969.11,3452.42,3309.62,2534.75,2012.88,3389.93,3249.72
1107,Banana - Lakatan,Fruit Crops,Davao Oriental,REGION XI (DAVAO REGION),1850,12320,22000,22532,7085,13550,22100.12,23806,8700,18029,23276,20354.5,8235,16356.2,20255,21834,9600,17756,20475.72,21965,9682,17230,20645.23,22396,9615.32,17104,20410.18,22360.59,9617.44,17138,20411.57,21940.17,9614.12,17030,20386,21880.9,9612.64,17005,20414,21891.84,9832.77,16760.63,20189,21867.66,9810.33,16638.17,20081.32,22097.72,9786.33,16891.59,20031.92,21987.34
1108,Banana - Lakatan,Fruit Crops,Davao de Oro,REGION XI (DAVAO REGION),3773.28,13750.99,4987.34,7391.25,3864.15,14177.27,4993.05,7399.48,3817.78,14130.9,4693.97,6666.5,810.35,6999.99,1822.77,2429.13,2508.45,7041.43,5248.18,5321.48,2954.97,7261.13,5694.28,5630.13,2647.55,7504.74,5873.96,5648.75,2690.71,7695.36,5712.98,5572.62,2681.66,7658.31,5788.21,5854.57,2572,7649.55,5761.98,5746.12,2568.05,7459.84,7265.91,5949.75,2585.31,8391.57,7361.23,6218.44,2567.45,8294.23,7328.19,5970.78
1109,Banana - Lakatan,Fruit Crops,Davao del Norte,REGION XI (DAVAO REGION),2057.62,4490.37,3546.57,1431.52,2122.85,4573.44,3796.12,1484.48,2342.86,4673.21,3896.41,1398.73,2143.29,4583.19,4034.17,1451.87,2586.46,4973.62,4302.47,1642.77,2695.85,4930.86,4712.78,1655.25,2370,4691.17,4522.38,1623.68,2303.17,4507.29,4651.27,1599.97,2290.35,4466.57,4528.17,1548.24,2154.54,4497.47,4830.19,1444.97,2127.21,4277.34,4403.3,1559.94,2307.28,4143.82,4339.92,1535.29,2196.53,4009.54,4314.21,1679.42
1110,Banana - Lakatan,Fruit Crops,Davao del Sur,REGION XI (DAVAO REGION),20748.96,23945.2,24412.46,21128.36,20855.2,24225.26,24518.39,21364.98,20958.63,24536.35,24795.35,21425.78,21010.35,25248.51,24800.41,21438.25,21738.41,26261.25,25251.82,21051.32,22318.92,27358.47,26542.18,21758.51,20125.87,26924.15,26503.45,22689.12,21014.33,27459.28,27134.23,22748.11,23634.82,24625.48,29218.14,21628.9,19589.57,14754.5,23311.95,19272.96,19746.29,15555.08,24088.24,19779.84,21793.98,16785.49,25784.05,19126.07,20465.86,15225.66,26400.66,18919.53
1111,Banana - Lakatan,Fruit Crops,Dinagat Islands,REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0,0,0.65,1,2.08,0.75,1.05,0.95,2.5,0.5,0.45,0.82,2.42,0.53,0.48,0.85,2.31,0.45,0.29,1.01,2.35,0.73,0.35,1.05,2.65,3.71,2.36,2.55,2.86,3.93,3.05,3.23,3.4,3.14,5.06,3.43,4.02,3.27,4.96,0,0.27,0.66
1112,Banana - Lakatan,Fruit Crops,Eastern Samar,REGION VIII (EASTERN VISAYAS),347.26,507.8,72.59,143.8,323.38,496.48,72.84,144.12,326.14,499,74.1,173.51,328.24,501.25,75.25,121.4,265.18,458.78,62.35,109.35,15.62,231.56,63.7,146.53,17.04,237.58,65.83,143.01,17.23,172.82,44.14,78.31,12.5,117.9,37.9,46.18,5.53,90.7,26.15,31.46,4.02,64.3,23.59,20.9,2.78,73.1,21.6,21.1,2.79,73.2,21.61,21.15
1113,Banana - Lakatan,Fruit Crops,Guimaras,REGION VI (WESTERN VISAYAS),17,15.5,9,20,17.51,15.81,9.54,21.4,18.21,17.39,12.4,26.75,21.85,20,16.13,23.81,21.19,19.6,15.65,25.72,22.25,19.01,14.87,22.63,20.02,16.72,14.13,23.76,21.23,19.23,15.5,21.86,20.17,20,15.04,19.67,18.15,15,14.29,20.85,17.6,15.45,18.05,21,23.12,20.7,22.02,24.69,19.39,18.92,26.46,32.1
1114,Banana - Lakatan,Fruit Crops,Ifugao,CORDILLERA ADMINISTRATIVE REGION (CAR),176.32,218.54,570.46,140.32,170.45,213.25,569.45,115.49,160.35,202.46,558.24,100.45,148.65,194.32,326.32,90.45,140.52,185.76,346.16,98.4,148.92,190.7,300.57,90.15,147.68,191.29,305.62,88.56,149.26,192.56,298.43,82.63,140.51,180.54,249.18,68.32,98.5,85.49,227.5,70.46,100.16,80.45,182.24,52.16,102.2,27.81,60.05,15.72,95.95,41.47,63.24,16.34
1115,Banana - Lakatan,Fruit Crops,Ilocos Norte,REGION I (ILOCOS REGION),42.72,12.63,16.32,22.88,44.25,13.89,16.92,23.47,49.94,14.38,17.22,26.48,52.23,15.1,17.62,26.38,53.04,15.55,18.51,25.9,52.55,15.75,18.94,25.97,51.92,15.62,19.53,25.57,50.39,15.57,20.52,25.9,51.81,15.7,21.41,25.08,49.79,12.82,21.85,26.05,53.88,13.01,22.94,27.28,55.97,12.28,25.82,32.06,59.98,13.17,27.54,31.07
1116,Banana - Lakatan,Fruit Crops,Ilocos Sur,REGION I (ILOCOS REGION),27.56,17.35,17.43,35.43,31.53,20.33,18.18,37.38,34.95,22.01,19.77,40.66,38.02,23.19,20.64,43.53,37.62,22.15,19.76,40.06,36.29,20.89,19.39,39.1,35.88,23.74,20.77,31.85,30.49,29.68,21.54,33.13,32.72,30.11,22.5,27.18,27.61,29.29,23.85,28.01,29.24,29.9,26.65,31.9,31.94,24.59,30.25,28.96,31.75,27.85,31.21,33.68
1117,Banana - Lakatan,Fruit Crops,Iloilo,REGION VI (WESTERN VISAYAS),3685,2455,2034,6401,3778,2594,2136,6444,3900,2680,2195,6573,3840,2720,2165,6167,2433,2175,1905,6450,2798,2500,2100,6600,2980,2600,2250,6850,3100,2850,2330,6980,3225,3100,2425,7350,3420,3225,2530,7620,3625,3550,2690,8417.81,3842.5,4010.44,2959,8670.34,4034.63,4368.97,3136.54,7824.12
1118,Banana - Lakatan,Fruit Crops,Isabela,REGION II (CAGAYAN VALLEY),1205.67,9706.8,4772.3,3006.31,133.71,6523.3,4158.56,1751.62,963.39,9589.56,6914.36,3081.46,1943.87,10309.16,6552.04,2909.59,1766.96,9905.19,5405.6,2773.71,1654.64,9022.26,4978.92,1891.35,1274.83,7562.26,5152.02,1552.98,1014.63,6440.78,4708.95,1778.01,1260.47,7502.22,5038.58,984.13,491.21,6154.68,4564.45,987.67,807.6,7016.34,4627.17,1011.05,818.15,7118.44,4630.87,1012.04,818.23,7123.71,4708.11,1016.06
1119,Banana - Lakatan,Fruit Crops,Kalinga,CORDILLERA ADMINISTRATIVE REGION (CAR),50.5,92.5,77,102,49,94.3,77.1,108,51,94.35,70,68,46,88,65,63.5,43,85.75,62,50,42.06,81,50,46,40,74,45,10,10,9.5,12,10.25,15,16,14.02,7,9,3.5,6.83,7.5,17.5,5.33,11,10.09,19.12,5.69,12.14,11.21,20.72,6.61,12.49,11.39
1120,Banana - Lakatan,Fruit Crops,La Union,REGION I (ILOCOS REGION),72.76,64.67,96.98,147,75.31,64.77,93.26,136.37,75.69,65.92,83.93,128.76,72.98,65.03,82.21,125.78,73.34,65.63,80.25,117.55,68.24,62.87,77.95,110.85,63.16,58.19,81.2,109.06,52.14,78.67,84.04,120.32,53.33,86.37,86.29,103.19,42.67,73.78,81.08,100.32,41.58,72.23,83.17,105.08,36.37,67.37,75.7,94.48,33.44,70.96,81.8,99.02
1121,Banana - Lakatan,Fruit Crops,Laguna,REGION IV-A (CALABARZON),315.74,537.89,942.64,140.8,337.31,570.5,961.49,145.02,344.06,576.2,971.1,160,347.5,587.72,995.38,164.82,312.75,575.96,878.37,65.93,150.12,209.44,879.25,82.41,193.65,276.52,901.23,84.47,244.44,291.45,1047.5,80.42,210.22,299.06,1149.84,87.87,199.48,263.95,1105.8,102.2,218.37,255.77,1158.07,92.37,145.52,180.73,1132.69,116.18,184.67,212.03,1352.73,88.11
1122,Banana - Lakatan,Fruit Crops,Lanao del Norte,REGION X (NORTHERN MINDANAO),30795.91,19120,28200,18220,30026.01,17590.4,27900,13260,29305.38,18500,28100,8810.4,28300,18480,28200,8840,28420.8,18600,28350,8680,28466.27,18700,28400,8670,29035.6,18510,28650,8675,28540,18520,28500,8544,28685,18550,28600,8560,28695,18490,29100,8580,28750,18500,29250,8595,28650,19200,29300,8620,28756,19300,29500,8750
1123,Banana - Lakatan,Fruit Crops,Lanao del Sur,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),12020,8250,6790,13985,11860,8050,6813.33,13776.67,12035,8131.67,6885.36,12950.07,12456.23,8100,6700,11950.2,12590.25,8232.4,6950,12990,12890.9,8500.5,6955,12992,13056,8632,7000,12995.64,13059,8647,6945,12999,13770,8650,7050,13145,13780,8600,7020,13155.5,13900,8615,7029,13159.23,13910,8620,7035.2,13163.5,13921,8624,7037.05,13162
1124,Banana - Lakatan,Fruit Crops,Leyte,REGION VIII (EASTERN VISAYAS),765.12,670.11,438.33,290.65,751.67,663.4,427.56,286.06,759.34,671.76,434.25,281.19,751.37,664.91,430.45,134.56,280.5,230.33,150.65,116.16,286.95,239.33,176.88,161.85,298.04,248.88,210.66,202.45,310.12,262.66,221.35,243.75,307.37,265.38,230.51,198.43,322.22,272.58,254.81,192.8,248.34,245.8,275.6,194,270.66,239.12,276.8,198,259.44,222.33,257.29,193.65
1125,Banana - Lakatan,Fruit Crops,Maguindanao,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),7859,14523,11828.52,11254,11003,14958.69,13011.37,12379.4,11653.45,15120.24,14957,13987.53,14567,15876.25,15705,14112,15895,16983,17276,15523,16299,16133.85,22490,23977.93,16000,16051,22827.35,24517.53,16350,16150,23059,30165,16000,18755,25300,30500,16120,19200,25450,32300,16340,19500,26920,34015,17210,19850,27360,34365,17665,20156,27633,34388
1126,Banana - Lakatan,Fruit Crops,Marinduque,MIMAROPA REGION,20.44,25.52,10.06,22.72,20.85,26.28,10.26,23.5,21.48,27.33,11.19,21.01,20.94,27.18,11.16,19.75,20.1,26.23,8.77,16.79,17.69,23.79,9.82,19.31,16.89,19.28,8.83,19.08,15.92,18.72,8.65,20.03,16.41,18.93,9.1,20.27,16.57,18.66,9.15,19.9,15.44,17.87,8.94,9.55,9.5,13.58,7.92,8.93,11.04,17.3,9.34,6.38
1127,Banana - Lakatan,Fruit Crops,Masbate,REGION V (BICOL REGION),34.96,33.2,66,50,32.51,31.04,66,52,35.43,32.59,70,55,38,34,72,47.85,33.5,34.29,73,52,32.2,35.85,71,55,29,32.98,75.2,60.75,31.9,34.18,81.47,64,33.31,35.11,85.38,67,34.58,37.8,94.25,75.94,19.42,36.28,98.8,74.14,20.04,42.08,105.4,77.25,20.44,45.22,117.23,84.49
1128,Banana - Lakatan,Fruit Crops,Misamis Occidental,REGION X (NORTHERN MINDANAO),1914,5210.5,2590,2589,1991,5512,2830,2660.2,1952,5594.68,2922,2610,1950,5673,2950,2615,1958,5786.46,2975,2612,1962,5701,3027,2630,1900,5130,3100,2699,1963.84,5599,3020,2803.2,2001.25,5642.7,3095.5,2812.5,2032.8,5600.5,3201,2832.7,2012.5,5500,2794.83,2950.7,1995,5560,2801.5,3009.5,2055.8,5752.19,2815.3,3059.25
1129,Banana - Lakatan,Fruit Crops,Misamis Oriental,REGION X (NORTHERN MINDANAO),6200,5000,4500,8550.1,7283.12,6290,7100,10555,10500,9500,7300,10740,9842,8750,7583,10770,9926,9625,7584,10650,9885.07,8103,7614,10420,9675.02,8000,7346,11045,9816,8310,7556,11352,10110,8519,7707,11635,10453,7382,7689,12820,10557,7237.25,7538.23,12694.32,10768.14,7250,7528,12500,10700,8579,6412,12959.88
1130,Banana - Lakatan,Fruit Crops,Negros Occidental,REGION VI (WESTERN VISAYAS),1410.88,1000,770,314,1425.13,1028,785.55,321.91,1455.34,1054.72,804.4,330.02,1494.78,1062.52,812.12,295.85,1408.68,1040.52,798.55,310.28,1526.86,1014.81,812.12,315.89,1515.1,988.83,822.21,320.85,1542.37,959.1,820,307.14,1541,831.25,795.31,296.2,1512.95,823.45,895.83,298.6,1497.97,866.9,908.67,420.72,1521,824,902,400,1466.7,800,853,317.56
1131,Banana - Lakatan,Fruit Crops,Negros Oriental,REGION VII (CENTRAL VISAYAS),2458.79,1586.84,492.4,1237.97,2538.95,1976.25,554.81,1380.69,2528.82,1903.13,522.74,1244.28,2317.66,1876.68,520.09,1225.12,2370.73,1992.09,547.71,1285.03,2268.79,1726.15,523.71,1234.27,2315.25,1292.89,447.72,1170.95,2511.66,1362.19,578.63,1023.64,2470.55,1174.69,673.06,890.57,2381.61,962.31,534.28,876.32,2282.82,743.19,473.4,1040.11,2321.17,814.86,535.09,1105.97,959.2,486.61,541.84,1241.79
1132,Banana - Lakatan,Fruit Crops,Northern Samar,REGION VIII (EASTERN VISAYAS),1130,2350.5,545.3,152,1165,2415,562.25,156.75,1208,2463.3,579.22,196.09,1256.32,2558.14,644,201.98,1303.43,2562,671.37,206.02,1302.12,2559.1,655.1,207.53,950.75,1950.65,638.5,209.85,960.75,1958.75,645.25,211.25,953.5,1977.25,647.5,225,954,1980,649,195.5,860,1960,650,198,864,1967,652,198.5,874,1969,653,199
1133,Banana - Lakatan,Fruit Crops,Nueva Ecija,REGION III (CENTRAL LUZON),246.5,258.34,342.2,270,250,255.62,343,265,252.15,261.37,345,271.55,249,260.5,342,264.97,248.32,263.78,338.95,263.47,245.4,267.28,340.87,252.35,239.79,266.42,350.33,260.13,243.38,300.64,341.4,263.5,244.65,301.43,340,253.01,282.34,354.62,321.89,287.24,295.82,385.18,335.53,279.38,279.67,394.95,392.59,283.47,297.04,415.54,401.1,258.84
1134,Banana - Lakatan,Fruit Crops,Nueva Vizcaya,REGION II (CAGAYAN VALLEY),2123.5,80.5,372.75,1100,2134.77,80.55,375,650,1965,79.25,368.77,600.6,1932.21,74.54,315.31,565.23,1832.59,69.88,321.33,601.13,1758.86,68.69,322.26,583.1,1569.37,368.99,612.5,575.8,1388.7,348.22,622.38,596.13,1479.04,358.61,627.32,585.97,1433.87,353.42,659.31,605.36,1456.46,356.02,664.54,600,1480.61,376.96,755.16,580,1636.15,404.87,801.94,752.28
1135,Banana - Lakatan,Fruit Crops,Occidental Mindoro,MIMAROPA REGION,106,55.2,127,19.52,111.3,58.2,133,20.15,115.75,61.11,139.65,20.92,118.07,63.45,142.75,17.76,110.98,61.48,138.89,18.29,113.75,63.4,145.85,19.02,117.16,59.4,142.2,19.4,120.67,62.2,152.15,27.35,133.72,63.25,145.23,26.75,131.85,56.46,157,23.89,108.59,46.56,83.78,22.78,122.06,55.39,85.17,24,139.34,52.82,95.6,26.07
1136,Banana - Lakatan,Fruit Crops,Oriental Mindoro,MIMAROPA REGION,6701.11,8904.61,9015.76,12368.79,6783.42,9232.65,9236.83,13849.18,6505.92,9371.14,9606.3,8230.32,4229.17,7046.6,8549.61,5480.57,3171.74,6525.15,8934.34,5858.46,3247.23,7770.11,9322.55,6499.02,1006.64,2355.99,3884.73,3026.26,704.89,2000.76,3279.91,3294.69,767.98,2144.13,4045.44,4438.08,747.9,2142,4921.28,4687.1,155.57,917.46,2327.81,1113.65,57.76,911.46,3337.06,1663.98,59.34,969.59,6502.16,1204.44
